city_name,seismic_level,risk_percent
Viña del Mar,2,79.18
Puerto Montt,3,26.40
Punta Arenas,2,17.39
Rancagua,4,56.13
Linares,1,15.50
Concepción,4,20.49
Rancagua,1,65.11
Puerto Montt,3,84.13
Viña del Mar,4,63.33
Linares,3,75.55
Valparaíso,5,33.66
Punta Arenas,3,37.81
Viña del Mar,3,52.54
Arica,4,39.10
Santiago,3,22.14
Puerto Montt,4,90.65
Antofagasta,2,77.50
Santiago,3,18.73
Osorno,2,89.17
Iquique,5,89.00
Arica,5,90.27
Arica,1,11.17
Punta Arenas,2,31.97
Rancagua,1,80.45
Valparaíso,4,14.28
Iquique,3,11.51
Punta Arenas,3,47.76
La Serena,3,38.05
Puerto Montt,3,49.44
Viña del Mar,2,53.42
Calama,4,
Angol,4,
Concepción,2,65.94
Punta Arenas,2,59.97
Valparaíso,4,37.12
Rancagua,4,68.44
Puerto Montt,2,29.29
Arica,5,
Copiapó,3,56.73
Osorno,2,96.40
Rancagua,5,
La Serena,4,86.66
La Serena,5,65.23
Iquique,4,94.25
Rancagua,5,17.46
Calama,5,25.39
Punta Arenas,1,88.75
Angol,5,44.84
Iquique,2,72.97
La Serena,2,31.70
Chillán,5,
Copiapó,3,
Copiapó,4,44.84
Viña del Mar,3,37.74
Valparaíso,2,61.63
Linares,3,23.81
Talca,1,36.93
Temuco,5,26.94
Iquique,5,66.18
Temuco,5,84.22
Santiago,1,63.63
Arica,3,55.99
Temuco,1,34.00
Angol,1,16.48
Arica,1,20.33
Rancagua,2,60.36
Calama,4,71.31
Rancagua,5,17.05
Valparaíso,3,61.23
San Antonio,5,96.88
La Serena,1,76.62
Iquique,5,26.57
Santiago,1,73.32
Puerto Montt,4,83.54
Osorno,5,32.73
Puerto Montt,2,71.22
Viña del Mar,5,52.65
Temuco,4,73.74
Angol,4,28.07
Rancagua,2,31.29
Talca,3,98.60
Arica,1,74.30
Viña del Mar,3,16.51
Angol,5,12.31
Viña del Mar,1,89.79
Temuco,3,84.40
Arica,2,93.96
Arica,5,77.33
Copiapó,1,44.32
Iquique,2,
Iquique,4,13.17
Rancagua,2,
Angol,1,69.65
San Antonio,2,23.06
Copiapó,4,
Angol,3,44.92
Arica,2,48.11
Angol,5,55.60
Osorno,1,12.15
Santiago,2,
Talca,1,38.10
Talca,3,
Rancagua,1,20.54
Santiago,1,48.17
San Antonio,5,30.73
Calama,1,76.14
Viña del Mar,4,53.57
Chillán,3,51.87
Angol,1,10.27
Talca,1,83.20
Santiago,4,80.92
Puerto Montt,2,93.20
Iquique,4,78.92
Chillán,3,69.14
San Antonio,4,
Iquique,3,86.76
Linares,1,81.75
Angol,4,48.49
Santiago,2,21.05
Calama,5,24.06
Valparaíso,4,17.46
Osorno,3,44.37
Concepción,2,33.03
Angol,5,47.44
Linares,5,95.26
Concepción,5,36.01
Iquique,4,76.00
Viña del Mar,4,64.03
Linares,5,71.46
Linares,5,
Chillán,1,89.73
Valparaíso,5,84.07
Santiago,4,54.50
Calama,3,74.21
Calama,3,74.68
Talca,3,53.76
Iquique,1,56.16
Osorno,2,28.03
Punta Arenas,4,66.53
Copiapó,2,93.38
Rancagua,3,97.80
Temuco,2,96.10
Copiapó,2,80.09
Iquique,5,56.46
Valparaíso,4,69.60
Santiago,3,18.25
Iquique,4,23.64
La Serena,3,62.28
Santiago,4,66.67
Chillán,5,71.38
La Serena,1,77.10
Punta Arenas,1,67.32
Valparaíso,2,12.74
Antofagasta,5,
Valparaíso,1,83.94
Arica,5,74.89
Viña del Mar,4,37.08
Santiago,1,88.23
Concepción,3,39.49
La Serena,5,39.76
Chillán,1,32.17
Talca,2,50.34
Puerto Montt,5,13.80
Osorno,3,90.48
Iquique,2,77.92
Valparaíso,1,23.10
La Serena,5,93.22
Iquique,4,30.29
Antofagasta,3,74.94
Chillán,1,62.09
Puerto Montt,1,34.61
Arica,5,25.86
San Antonio,3,98.97
Arica,4,70.84
Rancagua,2,56.64
Punta Arenas,3,
Chillán,3,
Copiapó,5,55.43
Copiapó,3,65.58
Calama,1,
Valparaíso,5,91.88
San Antonio,5,29.35
Copiapó,1,24.14
Concepción,2,53.86
Puerto Montt,4,28.09
Arica,1,
San Antonio,1,30.23
Santiago,4,33.58
Calama,5,27.87
Talca,2,44.41
Viña del Mar,3,83.04
Valparaíso,1,73.26
Copiapó,1,58.11
La Serena,1,22.22
Calama,4,53.19
Linares,3,26.53
Linares,5,83.14
San Antonio,1,27.10
Temuco,5,76.18
Punta Arenas,1,
Concepción,2,56.53
Santiago,5,73.99
Copiapó,5,68.16
Copiapó,3,58.59
Osorno,1,70.11
La Serena,5,59.02
Santiago,1,20.14
San Antonio,3,81.55
Angol,2,53.37
Arica,4,12.98
Viña del Mar,3,
La Serena,5,97.94
Iquique,2,99.76
Puerto Montt,2,80.72
Copiapó,2,32.21
Valparaíso,1,66.82
Santiago,5,91.63
Viña del Mar,5,65.59
Temuco,5,17.35
Antofagasta,5,25.12
Copiapó,2,54.29
Temuco,2,86.41
Antofagasta,5,
Temuco,2,56.52
Valparaíso,3,51.45
Copiapó,3,83.21
Linares,1,77.44
Puerto Montt,1,93.82
Osorno,1,
Viña del Mar,2,54.64
Puerto Montt,4,48.31
Iquique,3,61.63
Viña del Mar,2,32.37
Linares,1,94.56
Valparaíso,1,52.69
Antofagasta,5,48.55
Punta Arenas,5,52.23
Santiago,2,
Puerto Montt,5,35.67
Rancagua,1,50.40
Linares,1,40.80
Calama,4,64.04
Calama,2,76.53
Puerto Montt,3,82.94
Puerto Montt,4,90.64
Temuco,2,51.34
Antofagasta,4,70.85
San Antonio,2,39.86
Valparaíso,2,59.00
Linares,1,47.12
Osorno,5,18.33
Talca,1,45.81
Temuco,3,85.91
Valparaíso,5,11.97
San Antonio,2,39.32
Arica,4,35.18
Linares,3,62.04
Viña del Mar,5,88.07
San Antonio,5,76.21
Punta Arenas,3,60.35
Talca,2,39.00
Puerto Montt,2,70.33
Arica,2,23.43
Temuco,1,36.62
Antofagasta,5,22.81
Puerto Montt,3,
Valparaíso,4,75.03
Antofagasta,4,89.42
Iquique,1,33.06
Talca,4,58.30
Calama,5,90.38
San Antonio,1,82.32
Santiago,2,38.28
Concepción,4,80.58
Puerto Montt,2,
Rancagua,2,77.96
Osorno,5,38.50
Arica,3,14.47
Rancagua,3,70.17
Viña del Mar,3,88.39
Antofagasta,4,32.95
Concepción,2,23.29
Angol,1,
Viña del Mar,3,34.15
Calama,5,43.88
Angol,4,30.39
Punta Arenas,1,80.59
Temuco,5,81.25
Punta Arenas,2,79.64
Temuco,3,86.68
Calama,4,62.63
Arica,1,35.59
Puerto Montt,1,42.83
Angol,4,65.60
Valparaíso,5,75.55
Copiapó,2,54.75
Copiapó,4,30.01
La Serena,1,42.67
Angol,1,16.64
Angol,1,36.32
Chillán,5,
Valparaíso,3,17.43
Chillán,4,
Santiago,4,12.61
Rancagua,2,45.59
Chillán,2,52.89
Linares,1,54.21
Concepción,1,36.99
Santiago,1,20.03
Talca,1,82.20
Arica,1,
Arica,4,64.96
Concepción,4,24.05
Antofagasta,3,10.65
Santiago,3,74.36
Rancagua,4,35.65
Copiapó,2,81.30
Osorno,4,80.54
Talca,3,59.51
Valparaíso,1,60.22
Antofagasta,5,
Puerto Montt,4,71.72
Rancagua,2,35.20
Arica,3,28.23
Concepción,5,50.46
Rancagua,2,38.31
Punta Arenas,4,29.85
Valparaíso,4,20.62
Valparaíso,3,30.81
Talca,4,95.32
Linares,3,61.42
Valparaíso,3,37.12
Antofagasta,2,
Osorno,1,91.88
Temuco,2,25.60
Arica,5,81.39
Copiapó,3,53.53
Angol,2,93.50
Temuco,2,61.46
Concepción,4,11.19
Linares,3,
Valparaíso,5,31.63
Linares,5,40.09
Linares,4,
Rancagua,2,39.31
Rancagua,4,43.48
Chillán,3,59.44
Chillán,4,63.13
Copiapó,3,93.63
Talca,1,57.41
Puerto Montt,2,29.77
Punta Arenas,5,89.66
San Antonio,2,78.07
Valparaíso,2,50.81
Santiago,2,
Chillán,5,45.20
Antofagasta,1,83.33
Valparaíso,2,99.28
Punta Arenas,3,76.32
La Serena,5,28.73
Linares,4,90.35
Iquique,5,95.81
Viña del Mar,4,69.31
Santiago,4,27.59
Angol,2,
Viña del Mar,5,83.38
Iquique,4,
Arica,1,72.01
Copiapó,2,
Viña del Mar,3,33.51
Rancagua,4,87.49
Talca,5,74.61
Valparaíso,1,80.78
Rancagua,5,32.26
San Antonio,3,62.59
Puerto Montt,5,11.36
Santiago,1,17.89
Calama,2,71.58
Talca,5,90.45
Santiago,2,16.82
Angol,4,51.31
Iquique,3,37.20
Rancagua,3,
La Serena,5,15.58
Rancagua,3,79.06
Valparaíso,2,95.62
Viña del Mar,4,30.55
Angol,1,91.69
Copiapó,3,77.88
Viña del Mar,2,47.57
Chillán,2,79.81
Chillán,1,68.86
Iquique,5,20.53
Calama,4,42.15
Rancagua,1,95.88
Chillán,5,16.56
Arica,2,16.19
La Serena,2,43.16
Arica,4,
San Antonio,2,40.51
Angol,3,77.72
Punta Arenas,4,46.50
Concepción,3,43.70
Rancagua,4,31.26
La Serena,2,49.52
Chillán,5,88.86
Punta Arenas,3,77.19
Santiago,1,
Chillán,3,90.02
Talca,3,53.32
Rancagua,3,94.48
Valparaíso,1,54.58
Santiago,1,
Talca,2,
Rancagua,4,40.54
Iquique,5,50.42
Antofagasta,4,68.42
Calama,5,61.87
Rancagua,1,55.55
Copiapó,2,52.39
Rancagua,4,98.64
Valparaíso,5,97.94
Arica,1,94.50
Valparaíso,3,44.74
Concepción,4,10.05
Temuco,1,50.55
Copiapó,2,
Linares,5,
Talca,5,51.99
Santiago,2,53.69
Temuco,4,
Linares,2,82.97
Angol,4,29.30
Punta Arenas,3,26.45
Copiapó,3,79.40
Copiapó,2,45.16
Temuco,5,34.20
Valparaíso,5,67.02
Linares,3,77.37
Chillán,5,22.16
San Antonio,5,
Rancagua,4,79.72
Linares,2,76.88
Santiago,5,54.29
Valparaíso,5,15.75
Talca,3,12.96
Antofagasta,4,54.16
San Antonio,1,64.69
Concepción,2,78.75
Puerto Montt,1,97.84
